"continent","iso","admin_0","admin_1","t_lci","t_med","t_uci","scenario"
"Africa","AGO","Angola","Bengo","40+","40+","40+","Central"
"Africa","AGO","Angola","Benguela","40+","40+","40+","Central"
"Africa","AGO","Angola","Bie","40+","40+","40+","Central"
"Africa","AGO","Angola","Cabinda","40+","40+","40+","Central"
"Africa","AGO","Angola","Cuando Cubango","37.9","37.7","37.6","Central"
"Africa","AGO","Angola","Cuanza Norte","40+","40+","40+","Central"
"Africa","AGO","Angola","Cuanza Sul","40+","40+","40+","Central"
"Africa","AGO","Angola","Cunene","31.2","30.6","30","Central"
"Africa","AGO","Angola","Huambo","38.8","38","37.1","Central"
"Africa","AGO","Angola","Huila","31.6","30.8","29.9","Central"
"Africa","AGO","Angola","Luanda","40+","40+","40+","Central"
"Africa","AGO","Angola","Lunda Norte","40+","40+","40+","Central"
"Africa","AGO","Angola","Lunda Sul","39.8","39.3","38.9","Central"
"Africa","AGO","Angola","Malanje","40+","40+","40+","Central"
"Africa","AGO","Angola","Moxico","33.7","33.4","33.2","Central"
"Africa","AGO","Angola","Namibe","30.8","29.8","28.9","Central"
"Africa","AGO","Angola","Uige","40+","40+","40+","Central"
"Africa","AGO","Angola","Zaire","37.5","37.4","37.2","Central"
"Africa","BDI","Burundi","Bubanza","10.4","10.3","10.2","Central"
"Africa","BDI","Burundi","Bujumbura Mairie","12.7","12.5","12.3","Central"
"Africa","BDI","Burundi","Bujumbura Rural","11.6","11.5","11.3","Central"
"Africa","BDI","Burundi","Bururi","14.5","14","13.6","Central"
"Africa","BDI","Burundi","Cankuzo","14","14","13.9","Central"
"Africa","BDI","Burundi","Cibitoke","10.6","10.5","10.4","Central"
"Africa","BDI","Burundi","Gitega","15.2","15.1","15.1","Central"
"Africa","BDI","Burundi","Karuzi","18.2","18.1","18","Central"
"Africa","BDI","Burundi","Kayanza","11.6","11.6","11.5","Central"
"Africa","BDI","Burundi","Kirundo","14.6","14.6","14.5","Central"
"Africa","BDI","Burundi","Makamba","16.7","16.5","16.4","Central"
"Africa","BDI","Burundi","Muramvya","12.8","12.6","12.5","Central"
"Africa","BDI","Burundi","Muyinga","15.4","15.4","15.3","Central"
"Africa","BDI","Burundi","Mwaro","10.5","10.4","10.2","Central"
"Africa","BDI","Burundi","Ngozi","15.1","15","14.9","Central"
"Africa","BDI","Burundi","Rumonge","17.8","17.6","17.4","Central"
"Africa","BDI","Burundi","Rutana","13.6","13.5","13.4","Central"
"Africa","BDI","Burundi","Ruyigi","14.1","14","14","Central"
"Africa","BEN","Benin","Alibori","40+","40+","40+","Central"
"Africa","BEN","Benin","Atakora","40+","40+","40+","Central"
"Africa","BEN","Benin","Atlantique","36","35.7","35.4","Central"
"Africa","BEN","Benin","Borgou","40+","40+","40+","Central"
"Africa","BEN","Benin","Collines","28.6","28.5","28.3","Central"
"Africa","BEN","Benin","Couffo","34.4","34.2","33.9","Central"
"Africa","BEN","Benin","Donga","28.8","28.7","28.5","Central"
"Africa","BEN","Benin","Littoral","35.1","34.8","34.4","Central"
"Africa","BEN","Benin","Mono","40+","40+","40+","Central"
"Africa","BEN","Benin","Oueme","36.3","36","35.6","Central"
"Africa","BEN","Benin","Plateau","40+","40+","40+","Central"
"Africa","BEN","Benin","Zou","30.5","30.3","30.1","Central"
"Africa","BFA","Burkina Faso","Boucle du Mouhoun","33.2","33","32.8","Central"
"Africa","BFA","Burkina Faso","Cascades","18.3","18.2","18.1","Central"
"Africa","BFA","Burkina Faso","Centre","19.3","19.2","19.1","Central"
"Africa","BFA","Burkina Faso","Centre-Est","24.1","23.9","23.8","Central"
"Africa","BFA","Burkina Faso","Centre-Nord","23.1","23","22.9","Central"
"Africa","BFA","Burkina Faso","Centre-Ouest","24.2","24.1","24","Central"
"Africa","BFA","Burkina Faso","Centre-Sud","21.6","21.4","21.3","Central"
"Africa","BFA","Burkina Faso","Est","22.5","22.4","22.3","Central"
"Africa","BFA","Burkina Faso","Haut-Bassins","22","21.9","21.7","Central"
"Africa","BFA","Burkina Faso","Nord","23.3","23.2","23.1","Central"
"Africa","BFA","Burkina Faso","Plateau-Central","20.5","20.4","20.3","Central"
"Africa","BFA","Burkina Faso","Sahel","23","22.8","22.7","Central"
"Africa","BFA","Burkina Faso","Sud-Ouest","19.4","19.3","19.2","Central"
"Africa","BWA","Botswana","Central","28","26.4","25","Central"
"Africa","BWA","Botswana","Chobe","19.8","19.1","18.4","Central"
"Africa","BWA","Botswana","Ghanzi","27.3","25.8","24.4","Central"
"Africa","BWA","Botswana","Kgatleng","28.9","27.3","25.7","Central"
"Africa","BWA","Botswana","Kweneng","29","27.3","25.8","Central"
"Africa","BWA","Botswana","North-East","29.3","27.6","26.1","Central"
"Africa","BWA","Botswana","North-West","28","26.4","25","Central"
"Africa","CAF","Central African Republic","Bamingui-Bangoran","34.5","33.8","33.1","Central"
"Africa","CAF","Central African Republic","Bangui","40+","40+","40+","Central"
"Africa","CAF","Central African Republic","Basse-Kotto","35.7","35.4","35.1","Central"
"Africa","CAF","Central African Republic","Haut-Mbomou","37.9","37.5","37","Central"
"Africa","CAF","Central African Republic","Haute-Kotto","37","36.5","35.9","Central"
"Africa","CAF","Central African Republic","Kemo","38.3","37.9","37.5","Central"
"Africa","CAF","Central African Republic","Lobaye","35.8","35.5","35.1","Central"
"Africa","CAF","Central African Republic","Mambere-Kadei","35.3","34.8","34.4","Central"
"Africa","CAF","Central African Republic","Mbomou","36.3","35.9","35.5","Central"
"Africa","CAF","Central African Republic","Nana-Gribizi","40+","40+","40+","Central"
"Africa","CAF","Central African Republic","Nana-Mambere","38.6","38.2","37.7","Central"
"Africa","CAF","Central African Republic","Ombella M'Poko","38.1","37.7","37.3","Central"
"Africa","CAF","Central African Republic","Ouaka","38.1","37.7","37.3","Central"
"Africa","CAF","Central African Republic","Ouham","40+","40+","40+","Central"
"Africa","CAF","Central African Republic","Ouham Pende","40+","40+","40+","Central"
"Africa","CAF","Central African Republic","Sangha-Mbaere","32.8","32.4","32","Central"
"Africa","CAF","Central African Republic","Vakaga","40+","40+","40+","Central"
"Africa","CIV","Côte d'Ivoire","Abidjan","40+","40+","40+","Central"
"Africa","CIV","Côte d'Ivoire","Bas-Sassandra","40+","40+","40+","Central"
"Africa","CIV","Côte d'Ivoire","Comoe","40+","40+","40+","Central"
"Africa","CIV","Côte d'Ivoire","Denguele","40+","40+","40+","Central"
"Africa","CIV","Côte d'Ivoire","Goh-Djiboua","40+","40+","40+","Central"
"Africa","CIV","Côte d'Ivoire","Lacs","40+","40+","40+","Central"
"Africa","CIV","Côte d'Ivoire","Lagunes","40+","40+","40+","Central"
"Africa","CIV","Côte d'Ivoire","Montagnes","40+","40+","40+","Central"
"Africa","CIV","Côte d'Ivoire","Sassandra-Marahoue","40+","40+","40+","Central"
"Africa","CIV","Côte d'Ivoire","Savanes","40+","40+","40+","Central"
"Africa","CIV","Côte d'Ivoire","Vallee du Bandama","40+","40+","40+","Central"
"Africa","CIV","Côte d'Ivoire","Woroba","40+","40+","40+","Central"
"Africa","CIV","Côte d'Ivoire","Yamoussoukro","40+","40+","40+","Central"
"Africa","CIV","Côte d'Ivoire","Zanzan","40+","40+","40+","Central"
"Africa","CMR","Cameroon","Adamaoua","40+","40+","40+","Central"
"Africa","CMR","Cameroon","Centre","34.5","34.1","33.7","Central"
"Africa","CMR","Cameroon","Est","40+","40+","40+","Central"
"Africa","CMR","Cameroon","Extreme Nord","37","36.5","36","Central"
"Africa","CMR","Cameroon","Littoral","32.5","31.9","31.3","Central"
"Africa","CMR","Cameroon","Nord","30.4","30.1","29.8","Central"
"Africa","CMR","Cameroon","North West","28.3","27.8","27.3","Central"
"Africa","CMR","Cameroon","Ouest","21.9","21.6","21.3","Central"
"Africa","CMR","Cameroon","South West","18.4","18.2","18","Central"
"Africa","CMR","Cameroon","Sud","31.3","31.1","30.9","Central"
"Africa","COD","Democratic Republic of the Congo","Bas-Uele","35.1","34.9","34.8","Central"
"Africa","COD","Democratic Republic of the Congo","Equateur","31.1","30.9","30.7","Central"
"Africa","COD","Democratic Republic of the Congo","Haut-Katanga","33.8","33.5","33.2","Central"
"Africa","COD","Democratic Republic of the Congo","Haut-Lomami","39.3","39","38.7","Central"
"Africa","COD","Democratic Republic of the Congo","Haut-Uele","36.2","36","35.8","Central"
"Africa","COD","Democratic Republic of the Congo","Ituri","32.4","32.2","32","Central"
"Africa","COD","Democratic Republic of the Congo","Kasai","31.2","31","30.8","Central"
"Africa","COD","Democratic Republic of the Congo","Kasai Central","35.8","35.6","35.4","Central"
"Africa","COD","Democratic Republic of the Congo","Kasai Oriental","34.2","33.8","33.5","Central"
"Africa","COD","Democratic Republic of the Congo","Kinshasa","26.3","26","25.7","Central"
"Africa","COD","Democratic Republic of the Congo","Kongo Central","38.2","38","37.8","Central"
"Africa","COD","Democratic Republic of the Congo","Kwango","37.5","37.3","37.1","Central"
"Africa","COD","Democratic Republic of the Congo","Kwilu","38.6","38.3","38.1","Central"
"Africa","COD","Democratic Republic of the Congo","Lomami","37.4","37.2","37","Central"
"Africa","COD","Democratic Republic of the Congo","Lualaba","37.4","37.2","36.9","Central"
"Africa","COD","Democratic Republic of the Congo","Mai-Ndombe","29.9","29.7","29.5","Central"
"Africa","COD","Democratic Republic of the Congo","Maniema","28.8","28.6","28.5","Central"
"Africa","COD","Democratic Republic of the Congo","Mongala","29.5","29.3","29.2","Central"
"Africa","COD","Democratic Republic of the Congo","Nord-Kivu","20.4","20.1","19.8","Central"
"Africa","COD","Democratic Republic of the Congo","Nord-Ubangi","35.6","35.4","35.2","Central"
"Africa","COD","Democratic Republic of the Congo","Sankuru","31.3","31.1","30.9","Central"
"Africa","COD","Democratic Republic of the Congo","Sud-Kivu","27.7","27.3","26.9","Central"
"Africa","COD","Democratic Republic of the Congo","Sud-Ubangi","31.9","31.7","31.6","Central"
"Africa","COD","Democratic Republic of the Congo","Tanganyka","37.1","36.8","36.5","Central"
"Africa","COD","Democratic Republic of the Congo","Tshopo","36.7","36.5","36.4","Central"
"Africa","COD","Democratic Republic of the Congo","Tshuapa","31.7","31.6","31.4","Central"
"Africa","COG","Congo","Bouenza","17.7","17.5","17.3","Central"
"Africa","COG","Congo","Brazzaville","21.8","21.3","20.8","Central"
"Africa","COG","Congo","Cuvette","11.6","11.5","11.4","Central"
"Africa","COG","Congo","Cuvette-Ouest","12.4","12.3","12.2","Central"
"Africa","COG","Congo","Kouilou","16.2","16.1","15.9","Central"
"Africa","COG","Congo","Lekoumou","16.6","16.5","16.3","Central"
"Africa","COG","Congo","Likouala","9","9","8.9","Central"
"Africa","COG","Congo","Niari","24.9","24.6","24.3","Central"
"Africa","COG","Congo","Plateaux","16.7","16.5","16.2","Central"
"Africa","COG","Congo","Point-Noire","16.3","16","15.8","Central"
"Africa","COG","Congo","Pool","16.8","16.6","16.4","Central"
"Africa","COG","Congo","Sangha","19.3","19.1","19","Central"
"Africa","DJI","Djibouti","Ali Sabieh","13.6","13.1","12.6","Central"
"Africa","DJI","Djibouti","Dikhil","12.9","12.5","12","Central"
"Africa","DJI","Djibouti","Djibouti","8.1","7.7","7.4","Central"
"Africa","DJI","Djibouti","Obock","24.9","24.8","24.8","Central"
"Africa","DJI","Djibouti","Tadjourah","22","21.9","21.8","Central"
"Africa","ERI","Eritrea","Anseba","14.9","14.3","13.8","Central"
"Africa","ERI","Eritrea","Debub","14.6","14","13.6","Central"
"Africa","ERI","Eritrea","Debubawi Keih Bahri","21","19.6","18.4","Central"
"Africa","ERI","Eritrea","Gash Barka","0","0","0","Central"
"Africa","ERI","Eritrea","Maekel","14.3","13.6","13","Central"
"Africa","ERI","Eritrea","Semenawi Keih Bahri","13.4","12.9","12.3","Central"
"Africa","ETH","Ethiopia","Addis Ababa","10.5","9.9","9.4","Central"
"Africa","ETH","Ethiopia","Afar","28.7","26.4","24.4","Central"
"Africa","ETH","Ethiopia","Amhara","40+","40+","40+","Central"
"Africa","ETH","Ethiopia","Beneshangul Gumu","35.8","33.6","31.5","Central"
"Africa","ETH","Ethiopia","Dire Dawa","24.9","23.1","21.6","Central"
"Africa","ETH","Ethiopia","Gambela","28.7","27.4","26.1","Central"
"Africa","ETH","Ethiopia","Hareri","11.4","11","10.6","Central"
"Africa","ETH","Ethiopia","Oromia",NA,"38.1","34.1","Central"
"Africa","ETH","Ethiopia","SNNPR","35.5","31.8","28.8","Central"
"Africa","ETH","Ethiopia","Somali","40+","40+","40+","Central"
"Africa","ETH","Ethiopia","Tigray","38","33.8","30.5","Central"
"Africa","GAB","Gabon","Estuaire","40+","40+","40+","Central"
"Africa","GAB","Gabon","Haut-Ogooue","40+","40+","40+","Central"
"Africa","GAB","Gabon","Moyen-Ogooue","40+","40+","40+","Central"
"Africa","GAB","Gabon","Ngounie","40+","40+","40+","Central"
"Africa","GAB","Gabon","Nyanga","40+","40+","40+","Central"
"Africa","GAB","Gabon","Ogooue-Ivindo","40+","40+","40+","Central"
"Africa","GAB","Gabon","Ogooue-Maritime","40+","40+","40+","Central"
"Africa","GAB","Gabon","Ogooue-lolo","40+","40+","40+","Central"
"Africa","GAB","Gabon","Woleu-Ntem","40+","40+","40+","Central"
"Africa","GHA","Ghana","Ashanti","15.1","15","14.8","Central"
"Africa","GHA","Ghana","Brong Ahafo","17.1","17","16.8","Central"
"Africa","GHA","Ghana","Central","19.6","19.4","19.2","Central"
"Africa","GHA","Ghana","Eastern","21.3","21.1","21","Central"
"Africa","GHA","Ghana","Greater Accra","8.7","8.6","8.5","Central"
"Africa","GHA","Ghana","Northern","15.3","15.1","15","Central"
"Africa","GHA","Ghana","Upper East","13.1","12.9","12.8","Central"
"Africa","GHA","Ghana","Upper West","13.8","13.7","13.6","Central"
"Africa","GHA","Ghana","Volta","13.9","13.8","13.8","Central"
"Africa","GHA","Ghana","Western","20.9","20.8","20.7","Central"
"Africa","GIN","Guinea","Boke","40+","40+","40+","Central"
"Africa","GIN","Guinea","Conakry","40+","40+","40+","Central"
"Africa","GIN","Guinea","Faranah","39.4","39.1","38.8","Central"
"Africa","GIN","Guinea","Kankan","40+","40+","40+","Central"
"Africa","GIN","Guinea","Kindia","40+","40+","40+","Central"
"Africa","GIN","Guinea","Labe","40+","40+","40+","Central"
"Africa","GIN","Guinea","Mamou","40+","40+","40+","Central"
"Africa","GIN","Guinea","Nzerekore","37.8","37.5","37.2","Central"
"Africa","GMB","Gambia","Central River","40+","40+","40+","Central"
"Africa","GMB","Gambia","Kanifing Municipal Council","40+","40+","40+","Central"
"Africa","GMB","Gambia","Lower River","40+","40+","40+","Central"
"Africa","GMB","Gambia","North Bank","40+","40+","40+","Central"
"Africa","GMB","Gambia","Upper River","40+","40+","40+","Central"
"Africa","GMB","Gambia","West Coast","40+","40+","40+","Central"
"Africa","GNB","Guinea-Bissau","Bafata","35.5","33.7","32","Central"
"Africa","GNB","Guinea-Bissau","Biombo","36.6","34.4","32.4","Central"
"Africa","GNB","Guinea-Bissau","Bissau",NA,"37.8","35.3","Central"
"Africa","GNB","Guinea-Bissau","Cacheu","32","29.4","27.1","Central"
"Africa","GNB","Guinea-Bissau","Gabu","34.8","33.1","31.6","Central"
"Africa","GNB","Guinea-Bissau","Oio","35.4","32.8","30.6","Central"
"Africa","GNB","Guinea-Bissau","Quinara","31","29.6","28.4","Central"
"Africa","GNB","Guinea-Bissau","Tombali","31.2","29.8","28.6","Central"
"Africa","GNQ","Equatorial Guinea","Bioko Norte","32.4","32.1","31.9","Central"
"Africa","GNQ","Equatorial Guinea","Bioko Sur","32.4","32.1","31.8","Central"
"Africa","GNQ","Equatorial Guinea","Centro Sur","36.5","36.2","36","Central"
"Africa","GNQ","Equatorial Guinea","Kie-Ntem","37.3","37.1","36.9","Central"
"Africa","GNQ","Equatorial Guinea","Litoral","30.6","30.4","30.2","Central"
"Africa","GNQ","Equatorial Guinea","Wele-Nzas","36.8","36.6","36.4","Central"
"Africa","KEN","Kenya","Baringo","10.5","10.2","9.8","Central"
"Africa","KEN","Kenya","Bomet","6.5","6.3","6.2","Central"
"Africa","KEN","Kenya","Bungoma","13.9","13.3","12.8","Central"
"Africa","KEN","Kenya","Busia","14.3","13.9","13.5","Central"
"Africa","KEN","Kenya","Elgeyo-Marakwet","6.7","6.5","6.3","Central"
"Africa","KEN","Kenya","Embu","13.9","13.5","13.1","Central"
"Africa","KEN","Kenya","Garissa","13","12.7","12.4","Central"
"Africa","KEN","Kenya","Homa Bay","13.9","13.3","12.8","Central"
"Africa","KEN","Kenya","Isiolo","14.4","13.8","13.3","Central"
"Africa","KEN","Kenya","Kajiado","12.7","12.2","11.8","Central"
"Africa","KEN","Kenya","Kakamega","13.8","13.3","12.8","Central"
"Africa","KEN","Kenya","Kericho","6.5","6.3","6.1","Central"
"Africa","KEN","Kenya","Kiambu","13.7","13","12.4","Central"
"Africa","KEN","Kenya","Kilifi","14","13.8","13.5","Central"
"Africa","KEN","Kenya","Kirinyaga","14.6","14","13.5","Central"
"Africa","KEN","Kenya","Kisii","8.4","8.1","7.9","Central"
"Africa","KEN","Kenya","Kisumu","15.5","14.8","14.1","Central"
"Africa","KEN","Kenya","Kitui","14.6","14.1","13.7","Central"
"Africa","KEN","Kenya","Kwale","13.6","13.3","13.1","Central"
"Africa","KEN","Kenya","Laikipia","12","11.5","11","Central"
"Africa","KEN","Kenya","Lamu","15.5","15.1","14.8","Central"
"Africa","KEN","Kenya","Machakos","15.2","14.6","14.1","Central"
"Africa","KEN","Kenya","Makueni","15.5","15.1","14.6","Central"
"Africa","KEN","Kenya","Mandera","14.4","14","13.7","Central"
"Africa","KEN","Kenya","Marsabit","12.5","12.2","11.9","Central"
"Africa","KEN","Kenya","Meru","15.2","14.6","14.1","Central"
"Africa","KEN","Kenya","Migori","13.9","13.3","12.8","Central"
"Africa","KEN","Kenya","Mombasa","14.4","14","13.7","Central"
"Africa","KEN","Kenya","Murang'a","14.3","13.7","13.2","Central"
"Africa","KEN","Kenya","Nairobi","8.8","8.3","7.9","Central"
"Africa","KEN","Kenya","Nakuru","6.7","6.5","6.3","Central"
"Africa","KEN","Kenya","Nandi","6.5","6.3","6.2","Central"
"Africa","KEN","Kenya","Narok","6.8","6.6","6.4","Central"
"Africa","KEN","Kenya","Nyamira","8.4","8.1","7.8","Central"
"Africa","KEN","Kenya","Nyandarua","7.4","7","6.7","Central"
"Africa","KEN","Kenya","Nyeri","12.8","12.3","11.9","Central"
"Africa","KEN","Kenya","Samburu","11.9","11.5","11.1","Central"
"Africa","KEN","Kenya","Siaya","18.9","18.4","18","Central"
"Africa","KEN","Kenya","Taita Taveta","14","13.6","13.3","Central"
"Africa","KEN","Kenya","Tana River","13.1","12.8","12.5","Central"
"Africa","KEN","Kenya","Tharaka-Nithi","14.3","13.8","13.4","Central"
"Africa","KEN","Kenya","Trans Nzoia","9.1","8.8","8.5","Central"
"Africa","KEN","Kenya","Turkana","10.7","10.3","9.9","Central"
"Africa","KEN","Kenya","Uasin Gishu","6.9","6.7","6.5","Central"
"Africa","KEN","Kenya","Vihiga","13.5","13","12.5","Central"
"Africa","KEN","Kenya","Wajir","13.7","13.3","12.9","Central"
"Africa","KEN","Kenya","West Pokot","9.1","8.9","8.6","Central"
"Africa","LBR","Liberia","Bomi","15","14.9","14.9","Central"
"Africa","LBR","Liberia","Bong","19.4","19.3","19.3","Central"
"Africa","LBR","Liberia","Gbapolu","15.4","15.3","15.2","Central"
"Africa","LBR","Liberia","Grand Bassa","14.6","14.5","14.5","Central"
"Africa","LBR","Liberia","Grand Cape Mount","19.1","19","18.9","Central"
"Africa","LBR","Liberia","Grand Gedeh","12.2","12.1","12.1","Central"
"Africa","LBR","Liberia","Grand Kru","16.3","16.2","16.2","Central"
"Africa","LBR","Liberia","Lofa","16.4","16.3","16.3","Central"
"Africa","LBR","Liberia","Margibi","17.6","17.6","17.5","Central"
"Africa","LBR","Liberia","Maryland","14.9","14.9","14.8","Central"
"Africa","LBR","Liberia","Montserrado","15","14.9","14.8","Central"
"Africa","LBR","Liberia","Nimba","22","21.9","21.8","Central"
"Africa","LBR","Liberia","River Cess","14","13.9","13.9","Central"
"Africa","LBR","Liberia","River Gee","14.4","14.4","14.3","Central"
"Africa","LBR","Liberia","Sinoe","14","14","14","Central"
"Africa","MDG","Madagascar","Alaotra Mangoro","40+","40+","40+","Central"
"Africa","MDG","Madagascar","Amoron I Mania","40+","40+","40+","Central"
"Africa","MDG","Madagascar","Analamanga","40+","40+","40+","Central"
"Africa","MDG","Madagascar","Analanjirofo","40+","40+","40+","Central"
"Africa","MDG","Madagascar","Androy","40+","40+","40+","Central"
"Africa","MDG","Madagascar","Anosy","40+","40+","40+","Central"
"Africa","MDG","Madagascar","Atsimo Andrefana","40+","40+","40+","Central"
"Africa","MDG","Madagascar","Atsimo Atsinanana","40+","40+","40+","Central"
"Africa","MDG","Madagascar","Atsinanana","38.7","37.2","35.9","Central"
"Africa","MDG","Madagascar","Betsiboka","40+","40+","40+","Central"
"Africa","MDG","Madagascar","Boeny","40+","40+","40+","Central"
"Africa","MDG","Madagascar","Bongolava",NA,"38.5","36.7","Central"
"Africa","MDG","Madagascar","Diana","35.3","33.8","32.3","Central"
"Africa","MDG","Madagascar","Haute Matsiatra","40+","40+","40+","Central"
"Africa","MDG","Madagascar","Ihorombe","40+","40+","40+","Central"
"Africa","MDG","Madagascar","Itasy","40+","40+","40+","Central"
"Africa","MDG","Madagascar","Melaky","32.4","31.5","30.5","Central"
"Africa","MDG","Madagascar","Menabe","40+","40+","40+","Central"
"Africa","MDG","Madagascar","Sava","40+","40+","40+","Central"
"Africa","MDG","Madagascar","Sofia","40+","40+","40+","Central"
"Africa","MDG","Madagascar","Vakinankaratra","40+","40+","40+","Central"
"Africa","MDG","Madagascar","Vatovavy Fitovinany","40+","40+","40+","Central"
"Africa","MLI","Mali","Bamako","35.1","34.5","33.9","Central"
"Africa","MLI","Mali","Gao","40+","40+","40+","Central"
"Africa","MLI","Mali","Kayes","36","35.3","34.6","Central"
"Africa","MLI","Mali","Kidal","26.9","25.7","24.7","Central"
"Africa","MLI","Mali","Koulikoro","38.2","37.8","37.4","Central"
"Africa","MLI","Mali","Mopti","40+","40+","40+","Central"
"Africa","MLI","Mali","Segou","36.3","35.8","35.3","Central"
"Africa","MLI","Mali","Sikasso","35.9","35.6","35.3","Central"
"Africa","MLI","Mali","Tombouctou","29.8","28.5","27.4","Central"
"Africa","MOZ","Mozambique","Cabo Delgado","20.3","20.2","20.1","Central"
"Africa","MOZ","Mozambique","Gaza","10","9.9","9.8","Central"
"Africa","MOZ","Mozambique","Inhambane","11.6","11.5","11.5","Central"
"Africa","MOZ","Mozambique","Manica","13.1","13.1","13","Central"
"Africa","MOZ","Mozambique","Maputo","13.5","13.3","13.1","Central"
"Africa","MOZ","Mozambique","Nampula","22.3","22.2","22","Central"
